Function	Enzyme_EC	KO	gene	gene2	gene3
 neocarzinostatin naphthoate synthase 	2.3.1.237	K20422	ncsB		
 2,7-dihydroxy-5-methyl-1-naphthoate 7-O-methyltransferase 	2.1.1.303	K20421	ncsB1		
 2-hydroxy-7-methoxy-5-methyl-1-naphthoate---CoA ligase 	6.2.1.43	K20423	ncsB2		
 2-hydroxy-5-methyl-1-naphthoate 7-hydroxylase 	1.14.15.31	K20420	ncsB3		
 acyltransferase		K21209	ncsB4		
 NDP-mannose synthase		K21210	ncsC		
 NDP-hexose 4,6-dehydratase		K21211	ncsC1		
 NDP-hexose 2,3-dehydratase		K21212	ncsC2		
 aminotransferase		K21213	ncsC3		
 NDP-hexose 4-ketoreductase		K21214	ncsC4		
 N-methyltransferase 	2.1.1.-	K21215	ncsC5		
 glycosyltransferase 	2.4.1.-	K21216	ncsC6		
 nicastrin		K06171	NCSTN		
 nicastrin		K06171	NCSTN		
 (S)-6-hydroxynicotine oxidase 	1.5.3.5	K19826	nctB	6-hlno	
 NADH-ubiquinone oxidoreductase chain 1 	7.1.1.2	K03878	ND1		
 NADH-ubiquinone oxidoreductase chain 1 	7.1.1.2	K03878	ND1		
 NADH-ubiquinone oxidoreductase chain 1 	7.1.1.2	K03878	ND1		
 NADH-ubiquinone oxidoreductase chain 1 	7.1.1.2	K03878	ND1		
 NADH-ubiquinone oxidoreductase chain 1 	7.1.1.2	K03878	ND1		
 NADH-ubiquinone oxidoreductase chain 2 	7.1.1.2	K03879	ND2		
 NADH-ubiquinone oxidoreductase chain 2 	7.1.1.2	K03879	ND2		
 NADH-ubiquinone oxidoreductase chain 2 	7.1.1.2	K03879	ND2		
 NADH-ubiquinone oxidoreductase chain 2 	7.1.1.2	K03879	ND2		
 NADH-ubiquinone oxidoreductase chain 2 	7.1.1.2	K03879	ND2		
 NADH-ubiquinone oxidoreductase chain 3 	7.1.1.2	K03880	ND3		
 NADH-ubiquinone oxidoreductase chain 3 	7.1.1.2	K03880	ND3		INRF2
 NADH-ubiquinone oxidoreductase chain 3 	7.1.1.2	K03880	ND3		INRF2
 NADH-ubiquinone oxidoreductase chain 3 	7.1.1.2	K03880	ND3		INRF2
 NADH-ubiquinone oxidoreductase chain 3 	7.1.1.2	K03880	ND3		INRF2
 NADH-ubiquinone oxidoreductase chain 4 	7.1.1.2	K03881	ND4		INRF2
 NADH-ubiquinone oxidoreductase chain 4 	7.1.1.2	K03881	ND4		
 NADH-ubiquinone oxidoreductase chain 4 	7.1.1.2	K03881	ND4		
 NADH-ubiquinone oxidoreductase chain 4 	7.1.1.2	K03881	ND4		
 NADH-ubiquinone oxidoreductase chain 4 	7.1.1.2	K03881	ND4		
 NADH-ubiquinone oxidoreductase chain 4L 	7.1.1.2	K03882	ND4L		
 NADH-ubiquinone oxidoreductase chain 4L 	7.1.1.2	K03882	ND4L		ENC2
 NADH-ubiquinone oxidoreductase chain 4L 	7.1.1.2	K03882	ND4L		
 NADH-ubiquinone oxidoreductase chain 4L 	7.1.1.2	K03882	ND4L		
 NADH-ubiquinone oxidoreductase chain 4L 	7.1.1.2	K03882	ND4L		
 NADH-ubiquinone oxidoreductase chain 5 	7.1.1.2	K03883	ND5		
 NADH-ubiquinone oxidoreductase chain 5 	7.1.1.2	K03883	ND5		
 NADH-ubiquinone oxidoreductase chain 5 	7.1.1.2	K03883	ND5		
 NADH-ubiquinone oxidoreductase chain 5 	7.1.1.2	K03883	ND5		
 NADH-ubiquinone oxidoreductase chain 5 	7.1.1.2	K03883	ND5		
 NADH-ubiquinone oxidoreductase chain 6 	7.1.1.2	K03884	ND6		
 NADH-ubiquinone oxidoreductase chain 6 	7.1.1.2	K03884	ND6		
 NADH-ubiquinone oxidoreductase chain 6 	7.1.1.2	K03884	ND6		
 NADH-ubiquinone oxidoreductase chain 6 	7.1.1.2	K03884	ND6		
 NADH-ubiquinone oxidoreductase chain 6 	7.1.1.2	K03884	ND6		
 nucleoporin NDC1		K14315	NDC1	TMEM48	
 nucleoporin NDC1		K14315	NDC1	TMEM48	
 kinetochore protein NDC80		K11547	NDC80	HEC1	
 nuclear distribution protein NudE		K16738	NDE1	NUDE	
 nuclear distribution protein NudE-like 1		K16739	NDEL1		
 NADH dehydrogenase 	1.6.99.3	K03885	ndh		
 NADH:ubiquinone reductase (non-electrogenic) 	1.6.5.9	K17871	ndh1		
 NADH:ubiquinone reductase (non-electrogenic) 	1.6.5.9	K17872	ndh2		
 NAD(P)H-quinone oxidoreductase subunit 1 	7.1.1.2	K05572	ndhA		
 nicotine dehydrogenase subunit A 	1.5.99.4	K19818	ndhA		
 NAD(P)H-quinone oxidoreductase subunit 2 	7.1.1.2	K05573	ndhB		
 nicotine dehydrogenase subunit B 	1.5.99.4	K19819	ndhB		GCL
 NAD(P)H-quinone oxidoreductase subunit 3 	7.1.1.2	K05574	ndhC		
 nicotine dehydrogenase subunit C 	1.5.99.4	K19820	ndhC		
 NAD(P)H-quinone oxidoreductase subunit 4 	7.1.1.2	K05575	ndhD		
 NAD(P)H-quinone oxidoreductase subunit 4L 	7.1.1.2	K05576	ndhE		
 NAD(P)H-quinone oxidoreductase subunit 5 	7.1.1.2	K05577	ndhF		
 nicotinate dehydrogenase FAD-subunit 	1.17.1.5	K20445	ndhF		
 NAD(P)H-quinone oxidoreductase subunit 6 	7.1.1.2	K05578	ndhG		
 NAD(P)H-quinone oxidoreductase subunit H 	7.1.1.2	K05579	ndhH		
 NAD(P)H-quinone oxidoreductase subunit I 	7.1.1.2	K05580	ndhI		
 NAD(P)H-quinone oxidoreductase subunit J 	7.1.1.2	K05581	ndhJ		
 NAD(P)H-quinone oxidoreductase subunit K 	7.1.1.2	K05582	ndhK		
 NAD(P)H-quinone oxidoreductase subunit L 	7.1.1.2	K05583	ndhL		
 nicotinate dehydrogenase large molybdopterin subunit 	1.17.1.5	K20447	ndhL		
 NAD(P)H-quinone oxidoreductase subunit M 	7.1.1.2	K05584	ndhM		
 nicotinate dehydrogenase medium molybdopterin subunit 	1.17.1.5	K20448	ndhM		
 NAD(P)H-quinone oxidoreductase subunit N 	7.1.1.2	K05585	ndhN		
 nicotinate dehydrogenase small FeS subunit 	1.17.1.5	K20446	ndhS		
 nucleoside-diphosphate kinase 	2.7.4.6	K00940	ndk	NME	
 nucleoside-diphosphate kinase 	2.7.4.6	K00940	ndk	NME	
 nucleoside-diphosphate kinase 	2.7.4.6	K00940	ndk	NME	
 nucleoside-diphosphate kinase 	2.7.4.6	K00940	ndk	NME	
 nucleoside-diphosphate kinase 	2.7.4.6	K00940	ndk	NME	
 methylxanthine N1-demethylase 	1.14.13.178	K21722	ndmA		DPZF
 methylxanthine N3-demethylase 	1.14.13.179	K21723	ndmB		
 7-methylxanthine demethylase 	1.14.13.128	K21724	ndmC		
 necdin		K19482	NDN		
 CopG family transcriptional regulator / antitoxin EndoAI		K07723	ndoAI		
 CopG family transcriptional regulator / antitoxin EndoAI		K07723	ndoAI		
 nucleoid-associated protein		K06899	ndpA		
 dimethylallylcistransferase 	2.5.1.28	K18114	NDPS1		
 protein NDRG1		K18266	NDRG1		
 heparan sulfate N-deacetylase/N-sulfotransferase NDST1 	3.1.1.- 2.8.2.-	K02576	NDST1		
 heparan sulfate N-deacetylase/N-sulfotransferase NDST1 	3.1.1.- 2.8.2.-	K02576	NDST1		
 heparan sulfate N-deacetylase/N-sulfotransferase NDST2 	3.1.1.- 2.8.2.-	K02577	NDST2		
 heparan sulfate N-deacetylase/N-sulfotransferase NDST2 	3.1.1.- 2.8.2.-	K02577	NDST2		
 heparan sulfate N-deacetylase/N-sulfotransferase NDST3 	3.1.1.- 2.8.2.-	K02578	NDST3		
 heparan sulfate N-deacetylase/N-sulfotransferase NDST3 	3.1.1.- 2.8.2.-	K02578	NDST3		
 heparan sulfate N-deacetylase/N-sulfotransferase NDST4 	3.1.1.- 2.8.2.-	K02579	NDST4		
 heparan sulfate N-deacetylase/N-sulfotransferase NDST4 	3.1.1.- 2.8.2.-	K02579	NDST4		
 meiosis-specific transcription factor NDT80		K12769	NDT80		
 meiosis-specific transcription factor NDT80		K12769	NDT80		
 NADH dehydrogenase (ubiquinone) 1 alpha subcomplex subunit 1		K03945	NDUFA1		
 NADH dehydrogenase (ubiquinone) 1 alpha subcomplex subunit 1		K03945	NDUFA1		
 NADH dehydrogenase (ubiquinone) 1 alpha subcomplex subunit 1		K03945	NDUFA1		
 NADH dehydrogenase (ubiquinone) 1 alpha subcomplex subunit 1		K03945	NDUFA1		
 NADH dehydrogenase (ubiquinone) 1 alpha subcomplex subunit 1		K03945	NDUFA1		
 NADH dehydrogenase (ubiquinone) 1 alpha subcomplex subunit 1		K03945	NDUFA1		
 NADH dehydrogenase (ubiquinone) 1 alpha subcomplex subunit 1		K03945	NDUFA1		
 NADH dehydrogenase (ubiquinone) 1 alpha subcomplex subunit 10		K03954	NDUFA10		
 NADH dehydrogenase (ubiquinone) 1 alpha subcomplex subunit 10		K03954	NDUFA10		
 NADH dehydrogenase (ubiquinone) 1 alpha subcomplex subunit 10		K03954	NDUFA10		
 NADH dehydrogenase (ubiquinone) 1 alpha subcomplex subunit 10		K03954	NDUFA10		
 NADH dehydrogenase (ubiquinone) 1 alpha subcomplex subunit 10		K03954	NDUFA10		
 NADH dehydrogenase (ubiquinone) 1 alpha subcomplex subunit 10		K03954	NDUFA10		
 NADH dehydrogenase (ubiquinone) 1 alpha subcomplex subunit 10		K03954	NDUFA10		
 NADH dehydrogenase (ubiquinone) 1 alpha subcomplex subunit 11		K03956	NDUFA11		
 NADH dehydrogenase (ubiquinone) 1 alpha subcomplex subunit 11		K03956	NDUFA11		
 NADH dehydrogenase (ubiquinone) 1 alpha subcomplex subunit 11		K03956	NDUFA11		
 NADH dehydrogenase (ubiquinone) 1 alpha subcomplex subunit 11		K03956	NDUFA11		
 NADH dehydrogenase (ubiquinone) 1 alpha subcomplex subunit 11		K03956	NDUFA11		
 NADH dehydrogenase (ubiquinone) 1 alpha subcomplex subunit 11		K03956	NDUFA11		
 NADH dehydrogenase (ubiquinone) 1 alpha subcomplex subunit 11		K03956	NDUFA11		
 NADH dehydrogenase (ubiquinone) 1 alpha subcomplex subunit 12		K11352	NDUFA12		
 NADH dehydrogenase (ubiquinone) 1 alpha subcomplex subunit 12		K11352	NDUFA12		
 NADH dehydrogenase (ubiquinone) 1 alpha subcomplex subunit 12		K11352	NDUFA12		
 NADH dehydrogenase (ubiquinone) 1 alpha subcomplex subunit 12		K11352	NDUFA12		
 NADH dehydrogenase (ubiquinone) 1 alpha subcomplex subunit 12		K11352	NDUFA12		
 NADH dehydrogenase (ubiquinone) 1 alpha subcomplex subunit 12		K11352	NDUFA12		
 NADH dehydrogenase (ubiquinone) 1 alpha subcomplex subunit 12		K11352	NDUFA12		
 NADH dehydrogenase (ubiquinone) 1 alpha subcomplex subunit 13		K11353	NDUFA13		
 NADH dehydrogenase (ubiquinone) 1 alpha subcomplex subunit 13		K11353	NDUFA13		
 NADH dehydrogenase (ubiquinone) 1 alpha subcomplex subunit 13		K11353	NDUFA13		
 NADH dehydrogenase (ubiquinone) 1 alpha subcomplex subunit 13		K11353	NDUFA13		
 NADH dehydrogenase (ubiquinone) 1 alpha subcomplex subunit 13		K11353	NDUFA13		
 NADH dehydrogenase (ubiquinone) 1 alpha subcomplex subunit 13		K11353	NDUFA13		
 NADH dehydrogenase (ubiquinone) 1 alpha subcomplex subunit 13		K11353	NDUFA13		
 NADH dehydrogenase (ubiquinone) 1 alpha subcomplex subunit 2		K03946	NDUFA2		
 NADH dehydrogenase (ubiquinone) 1 alpha subcomplex subunit 2		K03946	NDUFA2		
 NADH dehydrogenase (ubiquinone) 1 alpha subcomplex subunit 2		K03946	NDUFA2		
 NADH dehydrogenase (ubiquinone) 1 alpha subcomplex subunit 2		K03946	NDUFA2		
 NADH dehydrogenase (ubiquinone) 1 alpha subcomplex subunit 2		K03946	NDUFA2		
 NADH dehydrogenase (ubiquinone) 1 alpha subcomplex subunit 2		K03946	NDUFA2		
 NADH dehydrogenase (ubiquinone) 1 alpha subcomplex subunit 2		K03946	NDUFA2		
 NADH dehydrogenase (ubiquinone) 1 alpha subcomplex subunit 3		K03947	NDUFA3		
 NADH dehydrogenase (ubiquinone) 1 alpha subcomplex subunit 3		K03947	NDUFA3		
 NADH dehydrogenase (ubiquinone) 1 alpha subcomplex subunit 3		K03947	NDUFA3		
 NADH dehydrogenase (ubiquinone) 1 alpha subcomplex subunit 3		K03947	NDUFA3		
 NADH dehydrogenase (ubiquinone) 1 alpha subcomplex subunit 3		K03947	NDUFA3		
 NADH dehydrogenase (ubiquinone) 1 alpha subcomplex subunit 3		K03947	NDUFA3		
 NADH dehydrogenase (ubiquinone) 1 alpha subcomplex subunit 3		K03947	NDUFA3		
 NADH dehydrogenase (ubiquinone) 1 alpha subcomplex subunit 4		K03948	NDUFA4		
 NADH dehydrogenase (ubiquinone) 1 alpha subcomplex subunit 4		K03948	NDUFA4		
 NADH dehydrogenase (ubiquinone) 1 alpha subcomplex subunit 4		K03948	NDUFA4		
 NADH dehydrogenase (ubiquinone) 1 alpha subcomplex subunit 4		K03948	NDUFA4		
 NADH dehydrogenase (ubiquinone) 1 alpha subcomplex subunit 4		K03948	NDUFA4		
 NADH dehydrogenase (ubiquinone) 1 alpha subcomplex subunit 4		K03948	NDUFA4		
 NADH dehydrogenase (ubiquinone) 1 alpha subcomplex subunit 4		K03948	NDUFA4		
 NADH dehydrogenase (ubiquinone) 1 alpha subcomplex subunit 5		K03949	NDUFA5		
 NADH dehydrogenase (ubiquinone) 1 alpha subcomplex subunit 5		K03949	NDUFA5		
 NADH dehydrogenase (ubiquinone) 1 alpha subcomplex subunit 5		K03949	NDUFA5		
 NADH dehydrogenase (ubiquinone) 1 alpha subcomplex subunit 5		K03949	NDUFA5		
 NADH dehydrogenase (ubiquinone) 1 alpha subcomplex subunit 5		K03949	NDUFA5		
 NADH dehydrogenase (ubiquinone) 1 alpha subcomplex subunit 5		K03949	NDUFA5		
 NADH dehydrogenase (ubiquinone) 1 alpha subcomplex subunit 5		K03949	NDUFA5		
 NADH dehydrogenase (ubiquinone) 1 alpha subcomplex subunit 6		K03950	NDUFA6		
 NADH dehydrogenase (ubiquinone) 1 alpha subcomplex subunit 6		K03950	NDUFA6		
 NADH dehydrogenase (ubiquinone) 1 alpha subcomplex subunit 6		K03950	NDUFA6		
 NADH dehydrogenase (ubiquinone) 1 alpha subcomplex subunit 6		K03950	NDUFA6		
 NADH dehydrogenase (ubiquinone) 1 alpha subcomplex subunit 6		K03950	NDUFA6		
 NADH dehydrogenase (ubiquinone) 1 alpha subcomplex subunit 6		K03950	NDUFA6		
 NADH dehydrogenase (ubiquinone) 1 alpha subcomplex subunit 6		K03950	NDUFA6		
 NADH dehydrogenase (ubiquinone) 1 alpha subcomplex subunit 7		K03951	NDUFA7		
 NADH dehydrogenase (ubiquinone) 1 alpha subcomplex subunit 7		K03951	NDUFA7		
 NADH dehydrogenase (ubiquinone) 1 alpha subcomplex subunit 7		K03951	NDUFA7		
 NADH dehydrogenase (ubiquinone) 1 alpha subcomplex subunit 7		K03951	NDUFA7		
 NADH dehydrogenase (ubiquinone) 1 alpha subcomplex subunit 7		K03951	NDUFA7		
 NADH dehydrogenase (ubiquinone) 1 alpha subcomplex subunit 7		K03951	NDUFA7		
 NADH dehydrogenase (ubiquinone) 1 alpha subcomplex subunit 7		K03951	NDUFA7		
 NADH dehydrogenase (ubiquinone) 1 alpha subcomplex subunit 8		K03952	NDUFA8		
 NADH dehydrogenase (ubiquinone) 1 alpha subcomplex subunit 8		K03952	NDUFA8		
 NADH dehydrogenase (ubiquinone) 1 alpha subcomplex subunit 8		K03952	NDUFA8		
 NADH dehydrogenase (ubiquinone) 1 alpha subcomplex subunit 8		K03952	NDUFA8		
 NADH dehydrogenase (ubiquinone) 1 alpha subcomplex subunit 8		K03952	NDUFA8		
 NADH dehydrogenase (ubiquinone) 1 alpha subcomplex subunit 8		K03952	NDUFA8		
 NADH dehydrogenase (ubiquinone) 1 alpha subcomplex subunit 8		K03952	NDUFA8		
 NADH dehydrogenase (ubiquinone) 1 alpha subcomplex subunit 9		K03953	NDUFA9		
 NADH dehydrogenase (ubiquinone) 1 alpha subcomplex subunit 9		K03953	NDUFA9		
 NADH dehydrogenase (ubiquinone) 1 alpha subcomplex subunit 9		K03953	NDUFA9		
 NADH dehydrogenase (ubiquinone) 1 alpha subcomplex subunit 9		K03953	NDUFA9		
 NADH dehydrogenase (ubiquinone) 1 alpha subcomplex subunit 9		K03953	NDUFA9		
 NADH dehydrogenase (ubiquinone) 1 alpha subcomplex subunit 9		K03953	NDUFA9		
 NADH dehydrogenase (ubiquinone) 1 alpha subcomplex subunit 9		K03953	NDUFA9		
 NADH dehydrogenase (ubiquinone) 1 alpha/beta subcomplex 1		K03955	NDUFAB1		
 NADH dehydrogenase (ubiquinone) 1 alpha/beta subcomplex 1		K03955	NDUFAB1		
 NADH dehydrogenase (ubiquinone) 1 alpha/beta subcomplex 1		K03955	NDUFAB1		
 NADH dehydrogenase (ubiquinone) 1 alpha/beta subcomplex 1		K03955	NDUFAB1		
 NADH dehydrogenase (ubiquinone) 1 alpha/beta subcomplex 1		K03955	NDUFAB1		
 NADH dehydrogenase (ubiquinone) 1 alpha/beta subcomplex 1		K03955	NDUFAB1		CSA
 NADH dehydrogenase (ubiquinone) 1 alpha/beta subcomplex 1		K03955	NDUFAB1		CSA
 NADH dehydrogenase 	ubiquinone 1 alpha subcomplex assembly factor 1	K18159	NDUFAF1	CIA30	CSA
 NADH dehydrogenase 	ubiquinone 1 alpha subcomplex assembly factor 1	K18159	NDUFAF1	CIA30	CSA
 NADH dehydrogenase 	ubiquinone 1 alpha subcomplex assembly factor 2	K18160	NDUFAF2		
 NADH dehydrogenase 	ubiquinone 1 alpha subcomplex assembly factor 2	K18160	NDUFAF2		
 NADH dehydrogenase 	ubiquinone 1 alpha subcomplex assembly factor 3	K09008	NDUFAF3		
 NADH dehydrogenase 	ubiquinone 1 alpha subcomplex assembly factor 3	K09008	NDUFAF3		
 NADH dehydrogenase 	ubiquinone 1 alpha subcomplex assembly factor 4	K18161	NDUFAF4		RAD6A
 NADH dehydrogenase 	ubiquinone 1 alpha subcomplex assembly factor 4	K18161	NDUFAF4		RAD6A
 NADH dehydrogenase 	ubiquinone 1 alpha subcomplex assembly factor 5 	K18162	NDUFAF5		RAD6A
 NADH dehydrogenase 	ubiquinone 1 alpha subcomplex assembly factor 5 	K18162	NDUFAF5		
 NADH dehydrogenase 	ubiquinone 1 alpha subcomplex assembly factor 6	K18163	NDUFAF6		
 NADH dehydrogenase 	ubiquinone 1 alpha subcomplex assembly factor 6	K18163	NDUFAF6		
 NADH dehydrogenase 	ubiquinone 1 alpha subcomplex assembly factor 7	K18164	NDUFAF7		
 NADH dehydrogenase 	ubiquinone 1 alpha subcomplex assembly factor 7	K18164	NDUFAF7		
 NADH dehydrogenase (ubiquinone) 1 beta subcomplex subunit 1		K03957	NDUFB1		
 NADH dehydrogenase (ubiquinone) 1 beta subcomplex subunit 1		K03957	NDUFB1		
 NADH dehydrogenase (ubiquinone) 1 beta subcomplex subunit 1		K03957	NDUFB1		
 NADH dehydrogenase (ubiquinone) 1 beta subcomplex subunit 1		K03957	NDUFB1		
 NADH dehydrogenase (ubiquinone) 1 beta subcomplex subunit 1		K03957	NDUFB1		
 NADH dehydrogenase (ubiquinone) 1 beta subcomplex subunit 1		K03957	NDUFB1		
 NADH dehydrogenase (ubiquinone) 1 beta subcomplex subunit 1		K03957	NDUFB1		
 NADH dehydrogenase (ubiquinone) 1 beta subcomplex subunit 10		K03966	NDUFB10		
 NADH dehydrogenase (ubiquinone) 1 beta subcomplex subunit 10		K03966	NDUFB10		
 NADH dehydrogenase (ubiquinone) 1 beta subcomplex subunit 10		K03966	NDUFB10		
 NADH dehydrogenase (ubiquinone) 1 beta subcomplex subunit 10		K03966	NDUFB10		UBC6
 NADH dehydrogenase (ubiquinone) 1 beta subcomplex subunit 10		K03966	NDUFB10		UBC6
 NADH dehydrogenase (ubiquinone) 1 beta subcomplex subunit 10		K03966	NDUFB10		UBC6
 NADH dehydrogenase (ubiquinone) 1 beta subcomplex subunit 10		K03966	NDUFB10		UBC6
 NADH dehydrogenase (ubiquinone) 1 beta subcomplex subunit 11		K11351	NDUFB11		
 NADH dehydrogenase (ubiquinone) 1 beta subcomplex subunit 11		K11351	NDUFB11		
 NADH dehydrogenase (ubiquinone) 1 beta subcomplex subunit 11		K11351	NDUFB11		UBC13
 NADH dehydrogenase (ubiquinone) 1 beta subcomplex subunit 11		K11351	NDUFB11		UBC13
 NADH dehydrogenase (ubiquinone) 1 beta subcomplex subunit 11		K11351	NDUFB11		UBC13
 NADH dehydrogenase (ubiquinone) 1 beta subcomplex subunit 11		K11351	NDUFB11		UBC13
 NADH dehydrogenase (ubiquinone) 1 beta subcomplex subunit 11		K11351	NDUFB11		
 NADH dehydrogenase (ubiquinone) 1 beta subcomplex subunit 2		K03958	NDUFB2		
 NADH dehydrogenase (ubiquinone) 1 beta subcomplex subunit 2		K03958	NDUFB2		
 NADH dehydrogenase (ubiquinone) 1 beta subcomplex subunit 2		K03958	NDUFB2		
 NADH dehydrogenase (ubiquinone) 1 beta subcomplex subunit 2		K03958	NDUFB2		
 NADH dehydrogenase (ubiquinone) 1 beta subcomplex subunit 2		K03958	NDUFB2		
 NADH dehydrogenase (ubiquinone) 1 beta subcomplex subunit 2		K03958	NDUFB2		
 NADH dehydrogenase (ubiquinone) 1 beta subcomplex subunit 2		K03958	NDUFB2		
 NADH dehydrogenase (ubiquinone) 1 beta subcomplex subunit 3		K03959	NDUFB3		
 NADH dehydrogenase (ubiquinone) 1 beta subcomplex subunit 3		K03959	NDUFB3		
 NADH dehydrogenase (ubiquinone) 1 beta subcomplex subunit 3		K03959	NDUFB3		
 NADH dehydrogenase (ubiquinone) 1 beta subcomplex subunit 3		K03959	NDUFB3		
 NADH dehydrogenase (ubiquinone) 1 beta subcomplex subunit 3		K03959	NDUFB3		
 NADH dehydrogenase (ubiquinone) 1 beta subcomplex subunit 3		K03959	NDUFB3		
 NADH dehydrogenase (ubiquinone) 1 beta subcomplex subunit 3		K03959	NDUFB3		
 NADH dehydrogenase (ubiquinone) 1 beta subcomplex subunit 4		K03960	NDUFB4		
 NADH dehydrogenase (ubiquinone) 1 beta subcomplex subunit 4		K03960	NDUFB4		
 NADH dehydrogenase (ubiquinone) 1 beta subcomplex subunit 4		K03960	NDUFB4		
 NADH dehydrogenase (ubiquinone) 1 beta subcomplex subunit 4		K03960	NDUFB4		
 NADH dehydrogenase (ubiquinone) 1 beta subcomplex subunit 4		K03960	NDUFB4		
 NADH dehydrogenase (ubiquinone) 1 beta subcomplex subunit 4		K03960	NDUFB4		
 NADH dehydrogenase (ubiquinone) 1 beta subcomplex subunit 4		K03960	NDUFB4		
 NADH dehydrogenase (ubiquinone) 1 beta subcomplex subunit 5		K03961	NDUFB5		
 NADH dehydrogenase (ubiquinone) 1 beta subcomplex subunit 5		K03961	NDUFB5		
 NADH dehydrogenase (ubiquinone) 1 beta subcomplex subunit 5		K03961	NDUFB5		
 NADH dehydrogenase (ubiquinone) 1 beta subcomplex subunit 5		K03961	NDUFB5		
 NADH dehydrogenase (ubiquinone) 1 beta subcomplex subunit 5		K03961	NDUFB5		
 NADH dehydrogenase (ubiquinone) 1 beta subcomplex subunit 5		K03961	NDUFB5		
 NADH dehydrogenase (ubiquinone) 1 beta subcomplex subunit 5		K03961	NDUFB5		
 NADH dehydrogenase (ubiquinone) 1 beta subcomplex subunit 6		K03962	NDUFB6		
 NADH dehydrogenase (ubiquinone) 1 beta subcomplex subunit 6		K03962	NDUFB6		
 NADH dehydrogenase (ubiquinone) 1 beta subcomplex subunit 6		K03962	NDUFB6		
 NADH dehydrogenase (ubiquinone) 1 beta subcomplex subunit 6		K03962	NDUFB6		ARF-BP1
 NADH dehydrogenase (ubiquinone) 1 beta subcomplex subunit 6		K03962	NDUFB6		ARF-BP1
 NADH dehydrogenase (ubiquinone) 1 beta subcomplex subunit 6		K03962	NDUFB6		
 NADH dehydrogenase (ubiquinone) 1 beta subcomplex subunit 6		K03962	NDUFB6		
 NADH dehydrogenase (ubiquinone) 1 beta subcomplex subunit 7		K03963	NDUFB7		
 NADH dehydrogenase (ubiquinone) 1 beta subcomplex subunit 7		K03963	NDUFB7		
 NADH dehydrogenase (ubiquinone) 1 beta subcomplex subunit 7		K03963	NDUFB7		
 NADH dehydrogenase (ubiquinone) 1 beta subcomplex subunit 7		K03963	NDUFB7		
 NADH dehydrogenase (ubiquinone) 1 beta subcomplex subunit 7		K03963	NDUFB7		
 NADH dehydrogenase (ubiquinone) 1 beta subcomplex subunit 7		K03963	NDUFB7		
 NADH dehydrogenase (ubiquinone) 1 beta subcomplex subunit 7		K03963	NDUFB7		
 NADH dehydrogenase (ubiquinone) 1 beta subcomplex subunit 8		K03964	NDUFB8		
 NADH dehydrogenase (ubiquinone) 1 beta subcomplex subunit 8		K03964	NDUFB8		
 NADH dehydrogenase (ubiquinone) 1 beta subcomplex subunit 8		K03964	NDUFB8		
 NADH dehydrogenase (ubiquinone) 1 beta subcomplex subunit 8		K03964	NDUFB8		
 NADH dehydrogenase (ubiquinone) 1 beta subcomplex subunit 8		K03964	NDUFB8		CHP60
 NADH dehydrogenase (ubiquinone) 1 beta subcomplex subunit 8		K03964	NDUFB8		CHP60
